Number-of-branches False-positive-rate-(%) Number-of-hash-functions Bloom-filter-size-(KB)
4 64 2 0.000976562
4 65 2 0.000976562
4 66 2 0.000976562
4 67 2 0.000976562
4 68 2 0.000976562
4 69 2 0.000976562
4 70 2 0.000976562
4 71 2 0.000976562
4 72 2 0.000976562
4 73 2 0.000976562
4 74 2 0.000976562
4 75 2 0.000976562
4 76 2 0.000976562
4 77 2 0.000976562
4 78 2 0.000976562
4 79 2 0.000976562
4 80 2 0.000976562
4 81 2 0.000976562
4 82 2 0.000976562
4 83 2 0.000976562
4 84 2 0.000976562
4 85 2 0.000976562
4 86 2 0.000976562
4 87 2 0.000976562
4 88 2 0.000976562
4 89 2 0.000976562
4 90 2 0.000976562
4 91 2 0.000976562
4 92 2 0.000976562
4 93 2 0.000976562
4 94 2 0.000976562
4 95 2 0.000976562
4 96 2 0.000976562
4 97 2 0.000976562
4 98 2 0.000976562
4 99 2 0.00012207
4 100 2 0.00012207
8 1 7 0.00976562
8 2 6 0.00878906
8 3 5 0.0078125
8 4 5 0.00683594
8 5 4 0.00683594
8 6 4 0.00585938
8 7 4 0.00585938
8 8 4 0.00585938
8 9 4 0.00488281
8 10 3 0.00488281
8 11 3 0.00488281
8 12 3 0.00488281
8 13 3 0.00488281
8 14 3 0.00390625
8 15 3 0.00390625
8 16 3 0.00390625
8 17 3 0.00390625
8 18 3 0.00390625
8 19 2 0.00390625
8 20 2 0.00390625
8 21 2 0.00390625
8 22 2 0.00390625
8 23 2 0.00292969
8 24 2 0.00292969
8 25 2 0.00292969
8 26 2 0.00292969
8 27 2 0.00292969
8 28 2 0.00292969
8 29 2 0.00292969
8 30 2 0.00292969
8 31 2 0.00292969
8 32 2 0.00292969
8 33 2 0.00292969
8 34 2 0.00292969
8 35 2 0.00292969
8 36 2 0.00292969
8 37 2 0.00292969
8 38 2 0.00195312
8 39 2 0.00195312
8 40 2 0.00195312
8 41 2 0.00195312
8 42 2 0.00195312
8 43 2 0.00195312
8 44 2 0.00195312
8 45 2 0.00195312
8 46 2 0.00195312
8 47 2 0.00195312
8 48 2 0.00195312
8 49 2 0.00195312
8 50 2 0.00195312
8 51 2 0.00195312
8 52 2 0.00195312
8 53 2 0.00195312
8 54 2 0.00195312
8 55 2 0.00195312
8 56 2 0.00195312
8 57 2 0.00195312
8 58 2 0.00195312
8 59 2 0.000976562
8 60 2 0.000976562
8 61 2 0.000976562
8 62 2 0.000976562
8 63 2 0.000976562
8 64 2 0.000976562
8 65 2 0.000976562
8 66 2 0.000976562
8 67 2 0.000976562
8 68 2 0.000976562
8 69 2 0.000976562
8 70 2 0.000976562
8 71 2 0.000976562
8 72 2 0.000976562
8 73 2 0.000976562
8 74 2 0.000976562
8 75 2 0.000976562
8 76 2 0.000976562
8 77 2 0.000976562
8 78 2 0.000976562
8 79 2 0.000976562
8 80 2 0.000976562
8 81 2 0.000976562
8 82 2 0.000976562
8 83 2 0.000976562
8 84 2 0.000976562
8 85 2 0.000976562
8 86 2 0.000976562
8 87 2 0.000976562
8 88 2 0.000976562
8 89 2 0.000976562
8 90 2 0.000976562
8 91 2 0.000976562
8 92 2 0.000976562
8 93 2 0.000976562
8 94 2 0.000976562
8 95 2 0.000976562
8 96 2 0.000976562
8 97 2 0.000976562
8 98 2 0.000976562
8 99 2 0.000976562
8 100 2 0.00012207
16 1 7 0.0195312
16 2 6 0.0166016
16 3 5 0.0146484
16 4 5 0.0136719
16 5 4 0.0126953
16 6 4 0.0117188
16 7 4 0.0107422
16 8 4 0.0107422
16 9 4 0.00976562
16 10 3 0.00976562
16 11 3 0.00976562
16 12 3 0.00878906
16 13 3 0.00878906
16 14 3 0.00878906
16 15 3 0.0078125
16 16 3 0.0078125
16 17 3 0.0078125
16 18 3 0.0078125
16 19 2 0.00683594
16 20 2 0.00683594
16 21 2 0.00683594
16 22 2 0.00683594
16 23 2 0.00585938
16 24 2 0.00585938
16 25 2 0.00585938
16 26 2 0.00585938
16 27 2 0.00585938
16 28 2 0.00585938
16 29 2 0.00585938
16 30 2 0.00488281
16 31 2 0.00488281
16 32 2 0.00488281
16 33 2 0.00488281
16 34 2 0.00488281
16 35 2 0.00488281
16 36 2 0.00488281
16 37 2 0.00488281
16 38 2 0.00488281
16 39 2 0.00390625
16 40 2 0.00390625
16 41 2 0.00390625
16 42 2 0.00390625
16 43 2 0.00390625
16 44 2 0.00390625
16 45 2 0.00390625
16 46 2 0.00390625
16 47 2 0.00390625
16 48 2 0.00292969
16 49 2 0.00292969
16 50 2 0.00292969
16 51 2 0.00292969
16 52 2 0.00292969
16 53 2 0.00292969
16 54 2 0.00292969
16 55 2 0.00292969
16 56 2 0.00292969
16 57 2 0.00292969
16 58 2 0.00292969
16 59 2 0.00292969
16 60 2 0.00292969
16 61 2 0.00195312
16 62 2 0.00195312
16 63 2 0.00195312
16 64 2 0.00195312
16 65 2 0.00195312
16 66 2 0.00195312
16 67 2 0.00195312
16 68 2 0.00195312
16 69 2 0.00195312
